Dataset_Title,URL
South German Credit,https://www.kaggle.com/datasets/sid321axn/south-german-credit-updated
Australian Credit Approval,https://www.kaggle.com/datasets/bfueojjsjdjsl/australian-credit-approval-data-set
Japanese Credit Screening,https://www.kaggle.com/datasets/xiangshan1989/japanese-credit-screening-from-the-uc-irvine
Polish Companies Bankruptcy,https://www.kaggle.com/datasets/stealthtechnologies/predict-bankruptcy-in-poland
Qualitative Bankruptcy,https://www.kaggle.com/datasets/jagadeesh23/qualitative-bankruptcy-data-set
credit-approval,https://www.openml.org/d/29
default-of-credit-card-clients v1,https://www.openml.org/d/42477
LoanDefaultPrediction,https://www.openml.org/d/44067
bank-marketing,https://www.openml.org/d/44074
Give Me Some Credit,https://www.openml.org/search?type=data&id=45577&sort=runs&status=active
Credit Card Fraud Detection (ULB),https://www.kaggle.com/datasets/mlg-ulb/creditcardfraud
Credit Risk Dataset (laotse),https://www.kaggle.com/datasets/laotse/credit-risk-dataset
Automobile Loan Default Dataset,https://www.kaggle.com/datasets/saurabhbagchi/dish-network-hackathon
Credit Card Fraud Detection 2023,https://www.kaggle.com/datasets/nelgiriyewithana/credit-card-fraud-detection-dataset-2023
Loan Approval Prediction Dataset,https://www.kaggle.com/datasets/architsharma01/loan-approval-prediction-dataset
Credit Risk Benchmark Dataset,https://www.kaggle.com/datasets/adilshamim8/credit-risk-benchmark-dataset
Prosper Loan Dataset,https://www.kaggle.com/datasets/nurudeenabdulsalaam/prosper-loan-dataset
Corporate Credit Rating,https://www.kaggle.com/datasets/agewerc/corporate-credit-rating
SME Credit Analysis,https://www.kaggle.com/datasets/youssefismail20/credit-and-smes-synth-data-credit-analysis
Loan Default Prediction Challenge,https://www.kaggle.com/datasets/nikhil1e9/loan-default
Advanced Credit Default Intel,https://www.kaggle.com/datasets/bornaetminan/advanced-credit-default-intelligence-dataset
Consumer Loan Defaulters,https://www.kaggle.com/datasets/lavish619/consumer-loan-product-defaulters-dataset
Bank Loan Data,https://www.kaggle.com/datasets/udaymalviya/bank-loan-data
Credit Risk & Loan Analysis,https://www.kaggle.com/datasets/algozee/credit-risk-and-loan-default-analysis-dataset
Credit Card Default (miadul),https://www.kaggle.com/datasets/miadul/credit-card-fraud-detection-dataset
Comprehensive Credit Card Trans.,https://www.kaggle.com/datasets/rajatsurana979/comprehensive-credit-card-transactions-dataset
Loan Payments Data (zhijinzhai),https://www.kaggle.com/datasets/zhijinzhai/loandata
Financial Transactions Dataset for Fraud Detection,https://www.kaggle.com/datasets/aryan208/financial-transactions-dataset-for-fraud-detection
Bank Transactions for Fraud,https://www.kaggle.com/datasets/valakhorasani/bank-transaction-dataset-for-fraud-detection
Large-Scale Financial Fraud,https://www.kaggle.com/datasets/mdmahfuzsumon/large-scale-financial-fraud-dataset
AltCredit: Mobile Data Loan,https://www.kaggle.com/datasets/mastershomya/altcredit-predict-loan-default-from-mobile-data
RAGnarok - Finance (Credit focus),https://www.kaggle.com/datasets/himanshusinghal19/ragnarok-finance
Loan Data (ItsSuru),https://www.kaggle.com/datasets/itssuru/loan-data
Credit Risk Analysis (Ramesh),https://www.kaggle.com/datasets/rameshmehta/credit-risk-analysis
Loan Approval Dataset (Amn),https://www.kaggle.com/datasets/anishdevedward/loan-approval-dataset
Loan Default Prediction (Seker),https://www.kaggle.com/datasets/sahideseker/loan-default-prediction-dataset
Loan Approval Dataset (Mishra),https://www.kaggle.com/datasets/abhishekmishra08/loan-approval-datasets
Enterprise Fraud Detection,https://www.kaggle.com/datasets/mohamedasak/enterprise-fraud-detection-dataset
Santander Customer Transaction,https://www.kaggle.com/c/santander-customer-transaction-prediction
Vehicle Loan Default (L&T),https://www.kaggle.com/datasets/mamtadhaker/lt-vehicle-loan-default-prediction
Corporate Credit Rating with Financial Ratios,https://www.kaggle.com/datasets/kirtandelwadia/corporate-credit-rating-with-financial-ratios
US Company Bankruptcy Prediction Dataset,https://www.kaggle.com/datasets/utkarshx27/american-companies-bankruptcy-prediction-dataset
FICO-HELOC-cleaned,https://www.openml.org/d/45554
Real-Time Digital Credit Risk Dataset,https://www.kaggle.com/datasets/zara2099/real-time-digital-credit-risk-dataset
Bondora Peer-to-Peer Lending Loan Data,https://www.kaggle.com/datasets/sid321axn/bondora-peer-to-peer-lending-loan-data
Synthetic Financial Datasets For Fraud Detection (PaySim),https://www.kaggle.com/datasets/ealaxi/paysim1
Credit Score Classification,https://www.kaggle.com/datasets/parisrohan/credit-score-classification
Loan Application Fraud Detection Dataset,https://www.kaggle.com/datasets/ahluwaliasaksham/loan-fraud-detection-dataset
Accounts Receivable and Payment Delay Analysis,https://www.kaggle.com/datasets/sonalisingh1411/accounts-receivable-and-payment-delay-analysis
Payment Card Fraud Detection with ML Models 2025,https://www.kaggle.com/datasets/pratyushpuri/payment-card-fraud-detection-with-ml-models-2025
Optimizing Default Model by First Payment Default,https://www.kaggle.com/competitions/optimizingdefaultmodelbyfirstpaymentdefault
