id,Col,Macro_Categoria
CRED-002,status,
CRED-002,duration,UNCLASSIFIED
CRED-002,credit_history,SOCIOECONOMIC
CRED-002,purpose,"VALUES, ATTITUDES and BEHAVIORAL"
CRED-002,amount,UNCLASSIFIED
CRED-002,savings,SOCIOECONOMIC
CRED-002,employment_duration,DEMOGRAPHIC
CRED-002,installment_rate,SOCIOECONOMIC
CRED-002,personal_status_sex,DEMOGRAPHIC
CRED-002,other_debtors,SOCIOECONOMIC
CRED-002,present_residence,DEMOGRAPHIC
CRED-002,property,
CRED-002,age,DEMOGRAPHIC
CRED-002,other_installment_plans,SOCIOECONOMIC
CRED-002,housing,DEMOGRAPHIC
CRED-002,number_credits,SOCIOECONOMIC
CRED-002,job,DEMOGRAPHIC
CRED-002,people_liable,SOCIOECONOMIC
CRED-002,telephone,ALTERNATIVE
CRED-002,foreign_worker,DEMOGRAPHIC
CRED-002,credit_risk,SOCIOECONOMIC
CRED-024,SeriousDlqin2yrs,SOCIOECONOMIC
CRED-024,RevolvingUtilizationOfUnsecuredLines,SOCIOECONOMIC
CRED-024,age,DEMOGRAPHIC
CRED-024,NumberOfTime30-59DaysPastDueNotWorse,UNCLASSIFIED
CRED-024,DebtRatio,SOCIOECONOMIC
CRED-024,MonthlyIncome,DEMOGRAPHIC
CRED-024,NumberOfOpenCreditLinesAndLoans,SOCIOECONOMIC
CRED-024,NumberOfTimes90DaysLate,SOCIOECONOMIC
CRED-024,NumberRealEstateLoansOrLines,SOCIOECONOMIC
CRED-024,NumberOfTime60-89DaysPastDueNotWorse,UNCLASSIFIED
CRED-024,NumberOfDependents,DEMOGRAPHIC
CRED-027,person_age,DEMOGRAPHIC
CRED-027,person_income,DEMOGRAPHIC
CRED-027,person_home_ownership,DEMOGRAPHIC
CRED-027,person_emp_length,DEMOGRAPHIC
CRED-027,loan_intent,"VALUES, ATTITUDES and BEHAVIORAL"
CRED-027,loan_grade,SOCIOECONOMIC
CRED-027,loan_amnt,SOCIOECONOMIC
CRED-027,loan_int_rate,UNCLASSIFIED
CRED-027,loan_status,SOCIOECONOMIC
CRED-027,loan_percent_income,SOCIOECONOMIC
CRED-027,cb_person_default_on_file,"VALUES, ATTITUDES and BEHAVIORAL"
CRED-027,cb_person_cred_hist_length,SOCIOECONOMIC
CRED-028,ID,
CRED-028,Client_Income,DEMOGRAPHIC
CRED-028,Car_Owned,DEMOGRAPHIC
CRED-028,Bike_Owned,ALTERNATIVE
CRED-028,Active_Loan,SOCIOECONOMIC
CRED-028,House_Own,DEMOGRAPHIC
CRED-028,Child_Count,DEMOGRAPHIC
CRED-028,Credit_Amount,SOCIOECONOMIC
